Transaction_ID,Date,Description,Amount,Transaction_Type,Category,Payment_Mode
T0026,2025-01-01,Medical Store,1116,Expense,Healthcare,Credit Card
T0074,2025-01-01,Room Rent,17787,Expense,Rent,Debit Card
T0882,2025-01-01,Myntra,2649,Expense,Shopping,Cash
T0162,2025-01-02,Gaming,2475,Expense,Entertainment,Cash
T0205,2025-01-02,Flipkart,4725,Expense,Shopping,Credit Card
T0615,2025-01-02,OTT Subscription,2067,Expense,Entertainment,Debit Card
T0671,2025-01-03,Mobile Recharge,1597,Expense,Bills,Cash
T1164,2025-01-03,Swiggy,1063,Expense,Food,Bank Transfer
T1241,2025-01-03,Ola,2115,Expense,Transport,Cash
T1484,2025-01-03,College Fees,9668,Expense,Education,UPI
T0033,2025-01-04,Cashback,2375,Income,Other Income,UPI
T0428,2025-01-04,DMart,437,Expense,Groceries,Bank Transfer
T0757,2025-01-04,Mobile Recharge,3775,Expense,Bills,UPI
T0052,2025-01-05,Uber,2252,Expense,Transport,Debit Card
T0061,2025-01-05,Interest,4969,Income,Other Income,UPI
T0471,2025-01-06,Monthly Salary,42607,Income,Salary,Credit Card
T0942,2025-01-06,DMart,2796,Expense,Groceries,Bank Transfer
T1021,2025-01-06,Movie,377,Expense,Entertainment,Credit Card
T1407,2025-01-06,House Rent,7389,Expense,Rent,Credit Card
T0113,2025-01-07,Medical Store,3751,Expense,Healthcare,Credit Card
T0691,2025-01-07,Metro,2401,Expense,Transport,Cash
T0734,2025-01-07,Dinner,397,Expense,Food,UPI
T0852,2025-01-07,Groceries,1125,Expense,Groceries,Credit Card
T0157,2025-01-08,Ola,514,Expense,Transport,Cash
T0414,2025-01-08,Electricity Bill,4223,Expense,Bills,Debit Card
T0832,2025-01-08,Uber,2301,Expense,Transport,Credit Card
T0956,2025-01-08,Auto Rickshaw,1893,Expense,Transport,Cash
T0984,2025-01-08,BigBasket,1961,Expense,Groceries,Debit Card
T1131,2025-01-08,Pizza,1780,Expense,Food,UPI
T0399,2025-01-09,Uber,2482,Expense,Transport,UPI
T0514,2025-01-09,Salary Credit,42959,Income,Salary,UPI
T0762,2025-01-09,Bus Pass,74,Expense,Transport,Bank Transfer
T1127,2025-01-09,Salary Credit,29402,Income,Salary,Cash
T1168,2025-01-09,Spotify,1981,Expense,Entertainment,Bank Transfer
T0583,2025-01-10,Online Course,9221,Expense,Education,Cash
T0914,2025-01-10,Stationery,4212,Expense,Education,Credit Card
T1383,2025-01-10,Stationery,1340,Expense,Education,Credit Card
T0636,2025-01-11,Movie,1248,Expense,Entertainment,Cash
T1473,2025-01-11,Books,1774,Expense,Education,Bank Transfer
T0182,2025-01-12,Reliance Smart,366,Expense,Groceries,Bank Transfer
T0957,2025-01-12,House Rent,9339,Expense,Rent,Bank Transfer
T1320,2025-01-12,Electricity Bill,4088,Expense,Bills,Debit Card
T0004,2025-01-14,PG Rent,9611,Expense,Rent,Cash
T0314,2025-01-14,Online Course,9338,Expense,Education,Debit Card
T0463,2025-01-14,Doctor Consultation,3791,Expense,Healthcare,Credit Card
T1375,2025-01-14,Electronics,2280,Expense,Shopping,Cash
T0156,2025-01-15,Mobile Recharge,2845,Expense,Bills,Bank Transfer
T0174,2025-01-15,Salary Credit,39746,Income,Salary,Credit Card
T0226,2025-01-15,Movie,1537,Expense,Entertainment,UPI
T0877,2025-01-15,Freelance Payment,9801,Income,Freelance,Cash
